iter	Passed	Remaining
595	6606	4744
596	6616	4732
597	6628	4721
598	6643	4713
599	6655	4702
600	6664	4690
601	6675	4679
602	6685	4667
603	6695	4655
604	6706	4644
605	6715	4632
606	6726	4620
607	6737	4609
608	6748	4598
609	6759	4587
610	6769	4576
611	6780	4564
612	6791	4553
613	6801	4541
614	6810	4529
615	6821	4517
616	6835	4508
617	6846	4498
618	6858	4487
619	6868	4475
620	6878	4463
621	6889	4452
622	6899	4441
623	6909	4429
624	6918	4416
625	6928	4404
626	6940	4394
627	6952	4383
628	6961	4371
629	6972	4360
630	6983	4349
631	6992	4337
632	7003	4326
633	7015	4315
634	7024	4303
635	7038	4293
636	7049	4283
637	7061	4272
638	7071	4260
639	7081	4249
640	7091	4237
641	7101	4225
642	7111	4213
643	7119	4200
644	7129	4189
645	7140	4178
646	7152	4167
647	7161	4155
648	7172	4144
649	7182	4132
650	7193	4121
651	7205	4111
652	7220	4102
653	7234	4092
654	7248	4083
655	7261	4073
656	7275	4063
657	7283	4051
658	7294	4040
659	7304	4028
660	7315	4017
661	7327	4006
662	7336	3994
663	7347	3983
664	7358	3972
665	7367	3960
666	7379	3949
667	7389	3938
668	7398	3926
669	7409	3914
670	7420	3903
671	7432	3893
672	7443	3881
673	7454	3871
674	7467	3860
675	7478	3849
676	7488	3838
677	7498	3826
678	7508	3815
679	7517	3803
680	7528	3791
681	7536	3779
682	7546	3767
683	7557	3756
684	7565	3744
685	7576	3732
686	7587	3721
687	7596	3710
688	7607	3698
689	7616	3686
690	7626	3675
691	7637	3664
692	7646	3652
693	7659	3641
694	7669	3630
695	7680	3619
696	7691	3608
697	7701	3597
698	7711	3585
699	7721	3573
700	7729	3561
701	7739	3550
702	7750	3538
703	7759	3527
704	7770	3516
705	7782	3505
706	7792	3493
707	7803	3482
708	7813	3471
709	7822	3459
710	7832	3448
711	7842	3436
712	7855	3426
713	7868	3416
714	7879	3405
715	7890	3394
716	7901	3383
717	7910	3371
718	7923	3361
719	7934	3350
720	7943	3338
721	7953	3326
722	7965	3316
723	7976	3305
724	7988	3294
725	7998	3283
726	8007	3271
727	8018	3260
728	8029	3249
729	8038	3237
730	8049	3226
731	8063	3216
732	8074	3205
733	8084	3194
734	8096	3183
735	8106	3171
736	8115	3160
737	8126	3149
738	8136	3138
739	8147	3126
740	8157	3115
741	8168	3104
